Playername,Country,Age,Height,Position,Years Played,Mean Year,Appearances,Goals,Birthplace,Longitude,Latitude
Eddy Pieters Graafland,Netherlands,80,1.86,Goalkeeper,1957-67,1012,47,0,Amsterdam,4.9000,52.3667
Orlando Engelaar,Netherlands,34,1.96,Defender,2007-2010,2008.5,14,0,Rotterdam,4.5000,51.9167
Leo Halle,Netherlands,,,Goalkeeper,1928-1937,1932.5,15,0,Deventer,6.1500,52.2500
Guus Haak,Netherlands,77,,Defender,1962-1965,1963.5,14,0,The Hague,4.3167,52.0833
Jan Graafland,Netherlands,,,Forward,,,,,Leeuwarden,5.7833,53.2000
Henk Groot,Netherlands,76,,Forward,1960-1969,1964.5,39,12,Zaandijk,4.8000,52.4667
Arie Haan,Netherlands,65,,Midfielder,1972-1980,1976,35,6,Finsterwolde,7.0836,53.1981
Cor van der Hart,Netherlands,,,Defender,1955-1961,1958,44,2,Amsterdam,4.9000,52.3667
Ruud Gullit,Netherlands,51,1.91,Defender,1981-1994,1987.5,66,17,Amsterdam,4.9000,52.3667
Willem van Hanegem,Netherlands,70,,Midfielder,1968-1979,1973.5,52,6,Breskens,3.5569,51.3950
Jimmy Floyd Hasselbaink,Netherlands,42,1.78,Forward,1998-2002,2000,23,9,Paramaribo,-55.1667,5.8667
Andr&#xE9; Hoekstra,Netherlands,52,,Midfielder,1984,1984,1,1,Baarn,5.2833,52.2167
Puck van Heel,Netherlands,,,Midfielder,1925-1938,1931.5,64,0,Rotterdam,4.5000,51.9167
Glenn Helder,Netherlands,45,,Forward,1995,1995,4,0,Leiden,4.4833,52.1667
John Heitinga,Netherlands,30,1.80,Defender,2004-,2009,87,7,Alphen aan den Rijn,4.6667,52.1333
Oeki Hoekema,Netherlands,65,,,1971,1971,1,1,Leeuwarden,5.7833,53.2000
Bertus de Harder,Netherlands,,,Forward,1938-1955,1946.5,11,3,The Hague,4.3167,52.0833
Joop van der Heide,Netherlands,,,Defender,1940,1940,1,0,Rotterdam,4.5000,51.9167
Marc van Hintum,Netherlands,47,1.75,Defender,1998-2001,1999.5,8,0,Oss,5.5167,51.7667
Frans Hogenbirk,Netherlands,,,Midfielder,1938,1938,0,0,Groningen,6.5667,53.2167
Wim Hofkens,Netherlands,56,,Defender,1983-1989,1986,5,0,Made Netherlands,4.7925,51.6764
Kevin Hofland,Netherlands,35,1.85,Defender,2000-2006,2003,7,0,Heerlen,5.9833,50.8833
Ren&#xE9; Hofman,Netherlands,53,,Forward,1982,1982,1,0,Heerlen,5.9833,50.8833
Joop Hiele,Netherlands,55,1.85,Goalkeeper,1980-1991,1985.5,7,0,Rotterdam,4.5000,51.9167
Peter Hoekstra (footballer),Netherlands,41,1.91,Midfielder,1996,1996,5,0,Assen,6.5667,53.0000
Pieter Huistra,Netherlands,47,1.82,Midfielder,1988-1991,1989.5,8,0,Go&#xEB;nga,5.6925,53.0544
Pierre van Hooijdonk,Netherlands,44,1.93,Forward,1994-2004,1999,46,14,Steenbergen,4.3167,51.5833
Nicky Hofs,Netherlands,31,1.70,Midfielder,2006,2006,1,0,Arnhem,5.9167,51.9833
Klaas-Jan Huntelaar,Netherlands,31,1.86,Forward,2006-,2010,65,35,Bronckhorst,6.3000,52.0500
Peter Houtman,Netherlands,57,,Forward,1983-1985,1984,8,7,Rotterdam,4.5000,51.9167
Hugo Hovenkamp,Netherlands,63,,Defender,1977-1983,1980,31,2,Groningen,6.5667,53.2167
Barry Hulshoff,Netherlands,67,,Defender,1971-1973,1972,14,6,Deventer,6.1500,52.2500
Kees van Ierssel,Netherlands,68,,Defender,1973-1974,1973.5,6,0,Breda,4.7833,51.5833
Rinus Isra&#xEB;l,Netherlands,72,,Defender,1964-1974,1969,47,3,Amsterdam,4.9000,52.3667
Daryl Janmaat,Netherlands,25,1.85,Defender,2012-,2013,21,0,Leidschendam,4.4000,52.0833
Wim Jansen,Netherlands,67,,Defender,1967-1980,1973.5,65,1,Rotterdam,4.5000,51.9167
Ola John,Netherlands,22,1.80,Midfielder,2013-,2013.5,1,0,Zwedru,-8.1333,6.0667
Henk Houwaart,Netherlands,68,,Midfielder,1969,1969,1,0,The Hague,4.3167,52.0833
Luuk de Jong,Netherlands,23,1.88,Forward,2011-,2012.5,7,1,Aigle,6.9667,46.3167
Kew Jaliens,Netherlands,35,1.83,Defender,2006-2007,2006.5,15,1,Rotterdam,4.5000,51.9167
Jerry de Jong,Netherlands,49,,Defender,1990-1991,1990.5,3,0,Paramaribo,-55.1667,5.8667
Martin Jol,Netherlands,58,,Midfielder,1980-1981,1980.5,3,,The Hague,4.3167,52.0833
Collins John,Netherlands,28,,Forward,2004,2004,2,0,Zwedru,-8.1333,6.0667
Theo Janssen,Netherlands,33,1.80,Midfielder,2006-2011,2008.5,5,0,Arnhem,5.9167,51.9833
Siem de Jong,Netherlands,25,1.85,Forward,2010-,2012,6,2,Aigle,6.9667,46.3167
Wim Jonk,Netherlands,47,1.86,Midfielder,1992-1999,1995.5,49,11,Volendam,5.0675,52.4994
Pierre Kerkhoffs,Netherlands,78,,Forward,1960-1965,1962.5,5,0,Geleen,5.8333,50.9667
Ren&#xE9; van de Kerkhof,Netherlands,62,,Midfielder,1973-1982,1977.5,47,5,Helmond,5.6500,51.4833
Theo de Jong,Netherlands,67,,Midfielder,1972-1974,1973,15,3,Leeuwarden,5.7833,53.2000
Willy van de Kerkhof,Netherlands,62,,Midfielder,1973-1986,1979.5,63,5,Helmond,5.6500,51.4833
Gerard Kerkum,Netherlands,83,,Defender,1960,1960,1,0,Rotterdam,4.5000,51.9167
Piet Keizer,Netherlands,71,,Midfielder,1962-1974,1968,34,11,Amsterdam,4.9000,52.3667
D&#xE9; Kessler,Netherlands,,,,1909-1922,1915.5,21,9,Garut,107.9000,-7.2167
Kees Kist,Netherlands,62,,Forward,1975-1980,1977.5,21,4,Steenwijk,6.1267,52.7889
Jan Jongbloed,Netherlands,73,1.79,Goalkeeper,1962-1978,1970,24,0,Amsterdam,4.9000,52.3667
Dolf Kessler,Netherlands,,,,1905-1906,1905.5,3,0,History of Jakarta,
Tonny Kessler,Netherlands,,,,1907-1913,1910,3,1,The Hague,4.3167,52.0833
Boelie Kessler,Netherlands,,,,1919-1922,1920.5,9,2,The Hague,4.3167,52.0833
Davy Klaassen,Netherlands,21,1.85,Midfielder,2014-,2014,1,0,Hilversum,5.1667,52.2333
Jan Klaassens,Netherlands,,,,1953-1963,1958,57,1,Venlo,6.1667,51.3667
Johan de Kock,Netherlands,49,1.90,Defender,1993-1997,1995,13,1,Sliedrecht,4.7667,51.8167
Wim Kieft,Netherlands,51,1.90,Forward,1981-1993,1987,42,11,Amsterdam,4.9000,52.3667
Patrick Kluivert,Netherlands,38,1.88,Forward,1994-2004,1999,79,40,Amsterdam,4.9000,52.3667
Jan Klijnjan,Netherlands,69,1.76,Forward,1967-1972,1969.5,11,2,Papendrecht,4.6833,51.8333
Ronald Koeman,Netherlands,51,1.83,Defender,1982-1994,1988,78,14,Zaandam,4.8333,52.4333
Erwin Koeman,Netherlands,52,1.80,Midfielder,1983-1994,1988.5,31,2,Zaandam,4.8333,52.4333
Wim Koevermans,Netherlands,54,,Defender,1988,1988,1,0,Vlaardingen,4.3500,51.9000
Martin Koeman,Netherlands,,,Defender,1964,1964,1,0,Purmerend,4.9500,52.5000
Bert Konterman,Netherlands,43,1.88,Defender,,,,,Rouveen,6.1808,52.6158
Danny Koevermans,Netherlands,35,1.91,Forward,2007,2007,4,1,Schiedam,4.4000,51.9167
Terence Kongolo,Netherlands,20,1.83,Defender,2014-,2014,2,0,Fribourg,7.1500,46.8000
Michel van de Korput,Netherlands,57,1.83,Defender,1978-1981,1979.5,23,0,Drimmelen,4.8000,51.6833
Cor Kools,Netherlands,,,Midfielder,1928-1930,1929,16,3,Teteringen,4.8206,51.6086
Piet Kraak,Netherlands,,,Goalkeeper,1946-1959,1952.5,33,0,Velsen,4.6167,52.4667
Adriaan Koonings,Netherlands,,,Forward,1924-1924,1924,1,0,Rotterdam,4.5000,51.9167
Kees van Kooten (footballer),Netherlands,66,,Forward,1981-1983,1982,9,4,Alblasserdam,4.6500,51.8667
Adick Koot,Netherlands,51,1.85,Defender,1988-1989,1988.5,3,0,Eindhoven,5.4833,51.4333
Adrie van Kraay,Netherlands,61,1.84,Defender,1975-1979,1977,17,0,Eindhoven,5.4833,51.4333
Jurrie Koolhof,Netherlands,54,1.80,Forward,1982-1983,1982.5,5,0,Beerta,7.0950,53.1739
Reinier Kreijermaat,Netherlands,79,,Midfielder,1961-1961,1961,2,0,Utrecht,5.1167,52.0833
Adrie Koster,Netherlands,59,,Midfielder,1978,1978,3,0,Zierikzee,3.9164,51.6497
Hans Kraay Sr.,Netherlands,77,,Defender,1957-1964,1960.5,8,0,Utrecht,5.1167,52.0833
Kees Krijgh,Netherlands,64,,Defender,,,2,0,&apos;s-Hertogenbosch,5.3000,51.6833
Jan Kromkamp,Netherlands,34,1.84,Defender,2004-2006,2005,11,0,Makkinga,6.2167,52.9833
Piet Kruiver,Netherlands,,,Forward,1957-1965,1961,22,12,Koog aan de Zaan,4.8000,52.4667
Hendrie Kr&#xFC;zen,Netherlands,49,,Midfielder,1987-1989,1988,5,0,Almelo,6.6667,52.3500
Piet van der Kuil,Netherlands,,,Forward,1952-1962,1957,40,9,Velsen,4.6167,52.4667
Michel Kreek,Netherlands,43,,Defender,1995,1995,1,0,Amsterdam,4.9000,52.3667
Dolf van Kol,Netherlands,,,Defender,1925-1931,1928,33,4,Amsterdam,4.9000,52.3667
Willy van der Kuijlen,Netherlands,67,1.81,Forward,1966-1977,1971.5,22,7,Helmond,5.6500,51.4833
Tim Krul,Netherlands,26,1.93,Goalkeeper,2011-,2012.5,6,0,The Hague,4.3167,52.0833
Dirk Kuyt,Netherlands,34,1.84,Defender,2004-2014,2009,103,24,Katwijk aan Zee,4.3953,52.2031
Lo La Chapelle,Netherlands,,,,1907,1907,1,0,Bogor,106.8000,-6.6
Denny Landzaat,Netherlands,38,1.78,Midfielder,2001-2008,2004.5,38,1,Amsterdam,4.9000,52.3667
Martin Laamers,Netherlands,46,,Midfielder,1989-1990,1989.5,2,0,Arnhem,5.9167,51.9833
Anton Lens,Netherlands,,,,1906,1906,2,0,Jatinegara,106.8833,-6.2333
Theo Laseroms,Netherlands,,,Defender,1965-1970,1967.5,6,1,Roosendaal,4.4500,51.5333
Joop Lankhaar,Netherlands,47,,Defender,1987,1987,1,0,Alphen aan den Rijn,4.6667,52.1333
Wim Lagendaal,Netherlands,,,Forward,1930-1935,1932.5,15,13,Rotterdam,4.5000,51.9167
Evert van Linge,Netherlands,,,,1919-1926,1922.5,13,3,Veendam,6.8833,53.1000
Tschen La Ling,Netherlands,58,1.80,Midfielder,1977-1982,1979.5,14,2,The Hague,4.3167,52.0833
Bart Latuheru,Netherlands,48,,Midfielder,1989,1989,1,0,Capelle aan den IJssel,4.5833,51.9333
Jeremain Lens,Netherlands,26,1.78,Forward,2010-,2012,24,8,Amsterdam,4.9000,52.3667
Ruud Krol,Netherlands,65,1.84,Defender,1969-1983,1976,83,4,Amsterdam,4.9000,52.3667
John van Loen,Netherlands,49,1.92,Forward,1985-1990,1987.5,7,1,Utrecht,5.1167,52.0833
Ton Lokhoff,Netherlands,54,,Midfielder,1984-1985,1984.5,3,0,Breda,4.7833,51.5833
Theo Lucius,Netherlands,37,1.82,Defender,2005,2005,3,0,Veghel,5.5500,51.6167
Glenn Loovens,Netherlands,30,1.88,Defender,2009-2010,2009.5,2,0,Doetinchem,6.3000,51.9667
Hedwiges Maduro,Netherlands,29,1.85,Defender,2005-,2009.5,18,0,Almere,5.2167,52.3667
Guus Lutjens,Netherlands,,,,1905-1911,1908,14,5,Arnhem,5.9167,51.9833
Jan Linssen,Netherlands,,,Forward,1938-1938,1938,1,,Rotterdam,4.5000,51.9167
Adam Maher,Netherlands,21,1.75,Midfielder,2012-,2013,5,0,Ait Izzou,
Eric van der Luer,Netherlands,49,1.73,Midfielder,1995,1995,2,0,Maastricht,5.6833,50.8500
Harry Lubse,Netherlands,62,,Forward,1975,1975,1,1,Eindhoven,5.4833,51.4333
Bruno Martins Indi,Netherlands,22,1.85,Defender,2012-,2013,22,2,Barreiro Portugal,-9.0667,38.6667
Aad Mansveld,Netherlands,,,,,,6,0,The Hague,4.3167,52.0833
Roy Makaay,Netherlands,39,1.88,Forward,2008,2008,3,2,Wijchen,5.7333,51.8000
Pierre Massy,Netherlands,,,,1926-1928,1927,12,3,Roermond,5.9833,51.2000
Joris Mathijsen,Netherlands,34,1.83,Defender,2004-2012,2008,84,3,Goirle,5.0667,51.5167
Dirk Marcellis,Netherlands,26,1.81,Defender,2008-,2011,3,0,Horst aan de Maas,6.0500,51.4500
Martijn Meerdink,Netherlands,37,1.81,Midfielder,2006,2006,1,0,Winterswijk,6.7167,51.9667
Noud van Melis,Netherlands,,,Forward,1950-1957,1953.5,13,15,Eindhoven,5.4833,51.4333
Pauke Meijers,Netherlands,,,Midfielder,1953,1953,1,0,Nijmegen,5.8667,51.8500
Bert van Marwijk,Netherlands,62,1.81,Midfielder,1975,1975,1,,Deventer,6.1500,52.2500
Hennie Meijer,Netherlands,52,1.82,Forward,1987,1987,1,0,Paramaribo,-55.1667,5.8667
Stanley Menzo,Netherlands,50,1.87,Goalkeeper,1989-1992,1990.5,6,0,Paramaribo,-55.1667,5.8667
Wim Meutstege,Netherlands,62,,Defender,1976,1976,1,0,Deventer,6.1500,52.2500
Erik Meijer (footballer),Netherlands,45,1.89,Forward,1993,1993,1,0,Meerssen,5.7500,50.8833
David Mendes da Silva,Netherlands,32,1.86,Midfielder,2007-,2010.5,7,0,Rotterdam,4.5000,51.9167
John Metgod,Netherlands,56,,Defender,1978-1983,1980.5,21,4,Amsterdam,4.9000,52.3667
Humphrey Mijnals,Netherlands,83,,Defender,1960,1960,3,0,Paramaribo,-55.1667,5.8667
Niek Michel,Netherlands,,,Goalkeeper,1938-1940,1939,1,0,Velsen,4.6167,52.4667
Mario Melchiot,Netherlands,37,1.88,Defender,2000-2008,2004,22,0,Amsterdam,4.9000,52.3667
Andy van der Meyde,Netherlands,34,,Midfielder,2002-2004,2003,17,1,Arnhem,5.9167,51.9833
Jaap Mol,Netherlands,,,Forward,1931-1934,1932.5,5,1,Koog aan de Zaan,4.8000,52.4667
Keje Molenaar,Netherlands,55,,Defender,1980-1981,1980.5,2,0,Volendam,5.0675,52.4994
Toine van Mierlo,Netherlands,56,,Forward,1980,1980,3,0,Soerendonk Sterksel en Gastel,5.5833,51.3000
Coen Moulijn,Netherlands,,,Midfielder,1956-1969,1962.5,38,4,Rotterdam,4.5000,51.9167
Kees Mijnders,Netherlands,,,Forward,1934-1938,1936,7,0,Eindhoven,5.4833,51.4333
Oscar Moens,Netherlands,41,1.92,Goalkeeper,1998-2001,1999.5,2,0,&apos;s-Gravenzande,4.1667,52.0000
Gerrie M&#xFC;hren,Netherlands,,,Midfielder,1969-1973,1971,10,0,Volendam,5.0675,52.4994
Frans de Munck,Netherlands,,,Goalkeeper,1949-1960,1954.5,31,0,Goes,3.8833,51.5000
Rinus Michels,Netherlands,,1.86,Forward,1950-1954,1952,5,0,Amsterdam,4.9000,52.3667
Michael Mols,Netherlands,43,1.78,Forward,1995-1999,1997,6,0,Amsterdam,4.9000,52.3667
Youri Mulder,Netherlands,45,1.90,Forward,1994-2001,1997.5,9,3,Brussels,4.3500,50.8500
Dick Nanninga,Netherlands,65,,Midfielder,1978-1981,1979.5,15,6,Groningen,6.5667,53.2167
Arnold M&#xFC;hren,Netherlands,63,,Midfielder,1978-1988,1983,23,3,Volendam,5.0675,52.4994
Jan Mulder (footballer),Netherlands,69,,Forward,1967-1970,1968.5,5,1,Bellingwolde,7.1653,53.1167
Joop van Nellen,Netherlands,,,Forward,1928-1937,1932.5,27,7,Delft,4.3667,52.0167
Jan Notermans,Netherlands,82,,Midfielder,1956-1960,1958,25,2,Sittard,5.8667,51.0000
Johan Neeskens,Netherlands,62,1.78,Midfielder,1970-1981,1975.5,49,17,Heemstede,4.6167,52.3500
Luciano Narsingh,Netherlands,23,1.78,Midfielder,2012-,2013,7,2,Amsterdam,4.9000,52.3667
Klaas Ooms,Netherlands,,,Forward,,,0,0,Amsterdam,4.9000,52.3667
Miquel Nelom,Netherlands,23,1.74,Defender,2013-,2013.5,2,0,Rotterdam,4.5000,51.9167
Toon Oprinsen,Netherlands,,,Midfielder,1934,1934,1,0,Tilburg,5.0833,51.5500
Ruud van Nistelrooy,Netherlands,38,1.88,Forward,1998-2011,2004.5,70,35,Oss,5.5167,51.7667
Bennie Muller,Netherlands,76,,Midfielder,1960-1968,1964,43,2,Amsterdam,4.9000,52.3667
Niels Oude Kamphuis,Netherlands,36,1.79,Midfielder,2001,2001,1,0,Hengelo,6.8000,52.2667
Barry Opdam,Netherlands,38,1.86,Defender,2005-2006,2005.5,8,1,Lisse,4.5500,52.2500
Arthur Numan,Netherlands,44,1.82,Defender,1992-2002,1997,45,0,Heemskerk,4.6667,52.5167
Edo Ophof,Netherlands,55,,defence,1981-1985,1983,15,2,Rhenen,5.5667,51.9667
Henk Pellikaan,Netherlands,,,Midfielder,1932-1946,1939,13,0,Leerdam,5.1000,51.9000
Bas Paauwe,Netherlands,,,Midfielder,1932-1946,1939,31,1,Rotterdam,4.5000,51.9167
Heini Otto,Netherlands,59,,Midfielder,1975,1975,1,0,Amsterdam,4.9000,52.3667
Patrick Paauwe,Netherlands,38,1.83,Defender,2000,2000,5,0,Dronten,5.7167,52.5167
Erik Pieters,Netherlands,26,1.86,Defender,2010-,2012,17,0,Tiel,5.4333,51.8833
Fons Pelser,Netherlands,,,Defender,1921-1922,1921.5,6,0,Amsterdam,4.9000,52.3667
Marcel Peeper,Netherlands,48,,Defender,1990,1990,1,0,Amsterdam,4.9000,52.3667
Jan Peters (footballer),Netherlands,60,1.72,Midfielder,1974-1982,1978,31,4,Groesbeek,5.9333,51.7833
Marc Overmars,Netherlands,41,1.74,Midfielder,1993-2004,1998.5,86,17,Emst,5.9725,52.3150
Kees Pijl,Netherlands,,,Forward,1924-1926,1925,8,7,Oosterhout,4.8667,51.6333
Ren&#xE9; Pijpers,Netherlands,,,Midfielder,1938,1938,0,0,Swalmen,6.0333,51.2333
Jan Poortvliet,Netherlands,58,,Defender,,,19,1,Arnemuiden,3.6667,51.5000
Jan Potharst,Netherlands,,,Defender,1946-1950,1948,6,0,Amsterdam,4.9000,52.3667
Andr&#xE9; Ooijer,Netherlands,40,1.87,Defender,1999-2010,2004.5,55,3,Amsterdam,4.9000,52.3667
Peet Petersen,Netherlands,73,,Forward,1962-1963,1962.5,4,1,Amsterdam,4.9000,52.3667
Hendrikus Plenter,Netherlands,,,Defender,1938,1938,0,0,Groningen,6.5667,53.2167
Co Prins,Netherlands,,,Forward,1960-1965,1962.5,10,3,Amsterdam,4.9000,52.3667
Herman van Raalte,Netherlands,,,Goalkeeper,1948,1948,1,0,Hengelo,6.8000,52.2667
Robin van Persie,Netherlands,31,1.83,Forward,2005-,2009.5,91,47,Rotterdam,4.5000,51.9167
Rob Reekers,Netherlands,48,1.88,Defender,1988-1989,1988.5,4,0,Enschede,6.9000,52.2167
Toine van Renterghem,Netherlands,,,,1906-1907,1906.5,3,0,Goes,3.8833,51.5000
Michael Reiziger,Netherlands,41,1.78,Defender,1994-2004,1999,72,1,Amstelveen,4.8500,52.3000
Johnny Rep,Netherlands,62,,Midfielder,1973-1981,1977,42,12,Zaandam,4.8333,52.4333
Piet van Reenen,Netherlands,,,Forward,1930-1933,1931.5,2,0,Utrecht,5.1167,52.0833
Karim Rekik,Netherlands,19,1.86,Defender,2014-,2014,1,0,The Hague,4.3167,52.0833
Peter Ressel,Netherlands,68,,Midfielder,1974,1974,3,0,Krommenie,4.7667,52.5000
Quincy Promes,Netherlands,22,1.74,Midfielder,2014-,2014,1,0,Amsterdam,4.9000,52.3667
Wim Rijsbergen,Netherlands,62,1.81,Defender,1974-1978,1976,28,1,Leiden,4.4833,52.1667
Piet Punt,Netherlands,,,Defender,1937,1937,1,0,Netherlands,4.8833,52.3667
Rob Rensenbrink,Netherlands,67,1.78,Forward,1968-1979,1973.5,46,,Amsterdam,4.9000,52.3667
Fernando Ricksen,Netherlands,38,1.75,Defender,2000-2003,2001.5,12,0,Heerlen,5.9833,50.8833
Arjen Robben,Netherlands,30,1.80,Midfielder,2003-,2008.5,82,26,Bedum,6.6000,53.3000
Ricardo van Rhijn,Netherlands,23,1.83,Defender,2012-,2013,7,0,Leiden,4.4833,52.1667
Kees Rijvers,Netherlands,88,,Midfielder,1946-1960,1953,33,10,Breda,4.7833,51.5833
Martijn Reuser,Netherlands,39,1.75,Midfielder,1998,1998,1,0,Amsterdam,4.9000,52.3667
Jan van Roessel,Netherlands,,,Forward,1949-1955,1952,5,4,Tilburg,5.0833,51.5500
Piet Romeijn,Netherlands,74,,Defender,1967-1968,1967.5,4,1,Schiedam,4.4000,51.9167
Nico Rijnders,Netherlands,,,Midfielder,1969-1970,1969.5,8,0,Breda,4.7833,51.5833
Jan Ruiter,Netherlands,67,,Goalkeeper,1976,1976,1,0,Enkhuizen,5.3000,52.7000
Sjef van Run,Netherlands,,,Defender,1931-1935,1933,25,0,&apos;s-Hertogenbosch,5.3000,51.6833
Fred Rutten,Netherlands,51,1.80,Defender,1979-1992,1985.5,317,11,Wijchen,5.7333,51.8000
Bryan Roy,Netherlands,44,1.78,Midfielder,1989-1995,1992,32,9,Amsterdam,4.9000,52.3667
Stijn Schaars,Netherlands,30,1.77,Midfielder,2006-,2010,23,0,Gendt,5.9725,51.8769
Frank Rijkaard,Netherlands,51,1.90,Midfielder,1981-1994,1987.5,73,10,Amsterdam,4.9000,52.3667
Edwin van der Sar,Netherlands,43,,Goalkeeper,1995-2008,2001.5,130,0,Voorhout,4.4864,52.2231
Graeme Rutjes,Netherlands,54,1.86,Defender,1989-1991,1990,13,1,Sydney,151.2094,-33.8597
Dick Schoenaker,Netherlands,61,,Midfielder,1978-1985,1981.5,13,6,Ede Netherlands,5.6667,52.0500
Jan van Schijndel,Netherlands,,,,1949-1955,1952,17,1,Schiedam,4.4000,51.9167
Arend Schoemaker,Netherlands,,,Forward,1933,1933,1,0,Diever,6.3175,52.8556
Dick Schneider,Netherlands,66,,Defender,1972-1974,1973,11,2,Deventer,6.1500,52.2500
John van &apos;t Schip,Netherlands,50,1.82,Midfielder,1986-1995,1990.5,41,2,Fort St. John British Columbia,-120.8464,56.2525
Clarence Seedorf,Netherlands,38,1.77,Midfielder,1994-2008,2001,87,11,Paramaribo,-55.1667,5.8667
Henk Schouten,Netherlands,82,,Midfielder,1955-1961,1958,2,0,Rotterdam,4.5000,51.9167
Ruben Schaken,Netherlands,32,1.72,Midfielder,2012-,2013,6,2,Amsterdam,4.9000,52.3667
Victor Sikora,Netherlands,36,1.73,Midfielder,2001-2002,2001.5,6,0,Deventer,6.1500,52.2500
Cees Schapendonk,Netherlands,58,,Forward,1981,1981,1,1,&apos;s-Hertogenbosch,5.3000,51.6833
Kick Smit,Netherlands,,,Forward,1934-1946,1940,29,26,Bloemendaal,4.6000,52.4000
Sonny Silooy,Netherlands,50,,Defender,1983-1993,1988,25,0,Rotterdam,4.5000,51.9167
Piet Schrijvers,Netherlands,67,,Goalkeeper,1971-1984,1977.5,46,0,Jutphaas,5.0939,52.0378
Andw&#xE9;l&#xE9; Slory,Netherlands,31,1.70,Midfielder,2007,2007,2,0,Paramaribo,-55.1667,5.8667
Felix Smeets,Netherlands,,,Forward,1927-1929,1928,14,7,The Hague,4.3167,52.0833
Henk van Spaandonck,Netherlands,,,Forward,1937-1940,1938.5,8,4,Roosendaal,4.4500,51.5333
Theo Snelders,Netherlands,50,1.93,Goalkeeper,1989,1989,1,0,Westervoort,5.9667,51.9667
Wesley Sneijder,Netherlands,30,1.70,Midfielder,2003-,2008.5,105,27,Utrecht,5.1167,52.0833
Piet Steenbergen,Netherlands,,,Midfielder,1950-1955,1952.5,2,0,Rotterdam,4.5000,51.9167
Maarten Stekelenburg,Netherlands,31,1.97,Goalkeeper,2004-,2009,54,0,Haarlem,4.6333,52.3833
Peet Stol,Netherlands,,,,1905,1905,2,0,Haarlem,4.6333,52.3833
Jaap Stam,Netherlands,42,,Defender,1996-2004,2000,67,3,Kampen Overijssel,5.9167,52.5500
Ronald Spelbos,Netherlands,60,,Defender,1980-1987,1983.5,21,1,Utrecht,5.1167,52.0833
Kevin Strootman,Netherlands,24,1.86,Midfielder,2011-,2012.5,25,3,Ridderkerk,4.6000,51.8667
Ben Stom,Netherlands,,,,1905-1908,1906.5,9,0,Apeldoorn,5.9667,52.2167
Pleun Strik,Netherlands,70,,Defender,1969-1974,1971.5,8,1,Rotterdam,4.5000,51.9167
Wilbert Suvrijn,Netherlands,51,1.86,Defender,1986-1988,1987,9,0,Sittard,5.8667,51.0000
Joop Stoffelen,Netherlands,,,Midfielder,1947-1950,1948.5,12,0,Amsterdam,4.9000,52.3667
Jeffrey Talan,Netherlands,42,1.75,Midfielder,1998-2000,1999,8,1,Katwijk,4.4167,52.2000
Wim Suurbier,Netherlands,69,,Defender,1966-1978,1972,60,3,Eindhoven,5.4833,51.4333
Simon Tahamata,Netherlands,58,1.64,Midfielder,1979-1986,1982.5,22,2,Vught,5.3000,51.6500
Jeffrey Sneijder,Netherlands,31,1.80,Midfielder,,,,,Utrecht,5.1167,52.0833
Wim Tap,Netherlands,,,Forward,1925-1931,1928,33,17,The Hague,4.3167,52.0833
Sjaak Swart,Netherlands,76,1.80,Forward,1960-1972,1966,31,10,Amsterdam,4.9000,52.3667
Frans Thijssen,Netherlands,62,,Midfielder,1975-1981,1978,14,3,Heumen,5.8500,51.7833
Gaston Taument,Netherlands,43,1.78,Midfielder,1992-1996,1994,15,2,The Hague,4.3167,52.0833
Huub Stevens,Netherlands,60,1.81,Defender,1979-1985,1982,18,1,Sittard,5.8667,51.0000
Pier Tol,Netherlands,56,,Forward,1980-1982,1981,5,0,Volendam,5.0675,52.4994
Dwight Tiendalli,Netherlands,28,1.77,Defender,2013-,2013.5,2,0,Paramaribo,-55.1667,5.8667
Henk Timmer (footballer),Netherlands,42,1.88,Goalkeeper,2005-2008,2006.5,7,0,Hierden,5.6667,52.3500
Jens Toornstra,Netherlands,25,1.78,Midfielder,2013-,2013.5,2,0,Alphen aan den Rijn,4.6667,52.1333
Sjaak Troost,Netherlands,54,1.80,Defender,1987-1988,1987.5,4,0,Pernis Netherlands,4.3833,51.8833
Stan Valckx,Netherlands,50,1.81,Defender,1990-1996,1993,20,0,Arcen,6.1678,51.4117
Adri van Tiggelen,Netherlands,57,1.83,Defender,1983-1992,1987.5,56,0,Oud-Beijerland,4.4000,51.8167
Eddy Treijtel,Netherlands,68,,Goalkeeper,1969-1976,1972.5,5,0,Rotterdam,4.5000,51.9167
Frans van der Veen,Netherlands,,,Forward,1938-1940,1939,8,1,Almelo,6.6667,52.3500
Michel Valke,Netherlands,54,,Midfielder,1979-1986,1982.5,16,0,Zwijndrecht Netherlands,4.6500,51.8167
Rafael van der Vaart,Netherlands,31,1.76,Midfielder,2001-,2007.5,109,25,Heemskerk,4.6667,52.5167
John Veldman,Netherlands,46,1.84,Defender,1996,1996,1,0,Paramaribo,-55.1667,5.8667
Jo&#xEB;l Veltman,Netherlands,22,1.83,Defender,2013-,2013.5,4,0,Velsen,4.6167,52.4667
Gerald Vanenburg,Netherlands,50,1.72,Midfielder,1982-1992,1987,42,1,Utrecht,5.1167,52.0833
Orlando Trustfull,Netherlands,44,,Midfielder,1995,1995,2,,Amsterdam,4.9000,52.3667
Jan Vennegoor of Hesselink,Netherlands,35,,Forward,2000-2009,2004.5,17,3,Oldenzaal,6.9333,52.3167
